paperId,method,node,section,basis,evidence,sourceUrl
ref-chao2019gaitset,Gaitset: Regarding gait as a set for cross-view gait recognition,Gait Modalities and Representations,IV-A,Survey discussion,"A silhouette suppresses color and texture while retaining projected body contour. Its compactness supports effective sequence processing in GaitSet, GaitPart, and GaitGL. Clothing and carried objects nevertheless change the contour itself, and coherent segmentation errors may persist across frames. GaitEdge connects segmentation and alignment to recognition; analysis of cropping further shows how normalization affects the resulting evidence.",https://doi.org/10.1609/aaai.v33i01.33018126
fan2020gaitpart-cvpr-2020,GaitPart,Gait Modalities and Representations,IV-A,Survey discussion,"A silhouette suppresses color and texture while retaining projected body contour. Its compactness supports effective sequence processing in GaitSet, GaitPart, and GaitGL. Clothing and carried objects nevertheless change the contour itself, and coherent segmentation errors may persist across frames. GaitEdge connects segmentation and alignment to recognition; analysis of cropping further shows how normalization affects the resulting evidence.",https://openaccess.thecvf.com/content_CVPR_2020/html/Fan_GaitPart_Temporal_Part-Based_Model_for_Gait_Recognition_CVPR_2020_paper.html
lin2021gait-iccv-2021,GaitGL,Gait Modalities and Representations,IV-A,Survey discussion,"A silhouette suppresses color and texture while retaining projected body contour. Its compactness supports effective sequence processing in GaitSet, GaitPart, and GaitGL. Clothing and carried objects nevertheless change the contour itself, and coherent segmentation errors may persist across frames. GaitEdge connects segmentation and alignment to recognition; analysis of cropping further shows how normalization affects the resulting evidence.",https://openaccess.thecvf.com/content/ICCV2021/html/Lin_Gait_Recognition_via_Effective_Global-Local_Feature_Representation_and_Local_Temporal_ICCV_2021_paper.html
liang2022gaitedge-eccv-2022,GaitEdge,Gait Modalities and Representations,IV-A,Survey discussion,"A silhouette suppresses color and texture while retaining projected body contour. Its compactness supports effective sequence processing in GaitSet, GaitPart, and GaitGL. Clothing and carried objects nevertheless change the contour itself, and coherent segmentation errors may persist across frames. GaitEdge connects segmentation and alignment to recognition; analysis of cropping further shows how normalization affects the resulting evidence.",https://arxiv.org/abs/2203.03972
okimura2024cropping-ijcb-2024,CVL,Gait Modalities and Representations,IV-A,Survey discussion,"A silhouette suppresses color and texture while retaining projected body contour. Its compactness supports effective sequence processing in GaitSet, GaitPart, and GaitGL. Clothing and carried objects nevertheless change the contour itself, and coherent segmentation errors may persist across frames. GaitEdge connects segmentation and alignment to recognition; analysis of cropping further shows how normalization affects the resulting evidence.",https://doi.org/10.1109/IJCB62174.2024.10744433
fu2023gpgait-iccv-2023,GPGait,Gait Modalities and Representations,IV-A,Survey discussion,"Skeletons retain articulation with little texture or contour information. GPGait combines body-coordinate processing with graph learning; SkeletonGait renders joints as maps and uses convolutions. These routes separate the choice of skeletal evidence from graph topology. OpenGait's reduced-channel SkeletonGait remains competitive at a parameter count close to GPGait, although pose sources and encoding choices also differ. Shared pose-processing baselines help localize these effects. Both routes remain exposed to occlusion and upstream estimation error.",https://openaccess.thecvf.com/content/ICCV2023/html/Fu_GPGait_Generalized_Pose-based_Gait_Recognition_ICCV_2023_paper.html
fan2024skegait-aaai-2024,SkeletonGait++,Gait Modalities and Representations,IV-A,Survey discussion,"Skeletons retain articulation with little texture or contour information. GPGait combines body-coordinate processing with graph learning; SkeletonGait renders joints as maps and uses convolutions. These routes separate the choice of skeletal evidence from graph topology. OpenGait's reduced-channel SkeletonGait remains competitive at a parameter count close to GPGait, although pose sources and encoding choices also differ. Shared pose-processing baselines help localize these effects. Both routes remain exposed to occlusion and upstream estimation error.",
fan2025opengait-tpami-2025,OpenGait,Gait Modalities and Representations,IV-A,Survey discussion,"Skeletons retain articulation with little texture or contour information. GPGait combines body-coordinate processing with graph learning; SkeletonGait renders joints as maps and uses convolutions. These routes separate the choice of skeletal evidence from graph topology. OpenGait's reduced-channel SkeletonGait remains competitive at a parameter count close to GPGait, although pose sources and encoding choices also differ. Shared pose-processing baselines help localize these effects. Both routes remain exposed to occlusion and upstream estimation error.",https://doi.org/10.1109/TPAMI.2025.3576283
meng2025fastposegait-tpami-2025,GPGait++,Gait Modalities and Representations,IV-A,Survey discussion,"Skeletons retain articulation with little texture or contour information. GPGait combines body-coordinate processing with graph learning; SkeletonGait renders joints as maps and uses convolutions. These routes separate the choice of skeletal evidence from graph topology. OpenGait's reduced-channel SkeletonGait remains competitive at a parameter count close to GPGait, although pose sources and encoding choices also differ. Shared pose-processing baselines help localize these effects. Both routes remain exposed to occlusion and upstream estimation error.",https://doi.org/10.1109/TPAMI.2025.3577594
zheng2023parsing-acmmm-2023,ParsingGait,Gait Modalities and Representations,IV-A,Survey discussion,"Parsing supplies denser body-region correspondence. ParsingGait and XGait exploit semantic regions and cross-granularity alignment, respectively, with related part representations and higher-order relations developed in subsequent work. SMPLGait introduces recovered body geometry, and occlusion-aware mesh learning extends this route. Such estimates regularize observations but can smooth individual detail or propagate fitting errors; unlike measured geometry, they depend on the image and body prior.",https://doi.org/10.1145/3581783.3612052
